#DATASET	K	J48	PART	JRip	MultilayerPerceptron	NaiveBayes	SMO
autos	6	1,0.9,0.813,0.848,0.517,0.769	0.667,0.85,0.729,0.826,0.586,0.923	0.667,0.9,0.771,0.739,0.69,0.769	0.667,0.8,0.896,0.783,0.793,0.538	0.667,0.6,0.458,0.913,0.414,0.615	0,0.75,0.813,0.761,0.586,0.692
balance	3	0.847,0,0.858	0.889,0.184,0.885	0.882,0,0.882	0.924,0.694,0.934	0.976,0,0.979	0.938,0,0.958
contraceptive	3	0.655,0.39,0.503	0.553,0.402,0.505	0.777,0.297,0.391	0.601,0.435,0.521	0.486,0.58,0.456	0.593,0.381,0.513
dermatology	6	0.964,0.885,0.972,0.878,0.981,0.9	0.973,0.869,1,0.898,0.962,0.9	0.973,0.754,0.903,0.653,1,0.7	1,0.869,0.986,0.898,1,1	1,0.902,1,0.939,1,0.95	1,0.869,0.986,0.837,1,1
ecoli	8	0.951,0.844,0.865,0.571,0.7,0.6,0,0	0.937,0.87,0.827,0.486,0.85,0.6,0,0	0.951,0.766,0.788,0.514,0.75,0.4,0,0	0.965,0.831,0.846,0.629,0.85,0.8,0,0	0.958,0.727,0.846,0.829,0.9,0.6,0,0	0.986,0.857,0.904,0.257,0.75,1,0,0
glass	7	0.557,0.763,0.412,1,0.75,0.692,0.889	0.643,0.724,0.235,1,0.615,0.889,0.828	0.686,0.711,0.118,1,0.692,0.667,0.724	0.771,0.697,0.059,1,0.462,0.556,0.862	0.729,0.184,0.176,1,0,0.889,0.862	0.514,0.882,0,1,0.154,0,0.828
hayes-roth	3	0.784,0.686,0.633	0.725,0.706,0.733	0.765,0.765,1	0.745,0.745,0.967	0.725,0.784,1	0.824,0.706,1
lymphography	4	0,0.852,0.787,0.5	0,0.827,0.721,0.75	0,0.852,0.623,0.75	0,0.877,0.852,0.25	0.5,0.926,0.738,0.75	1,0.938,0.896,0.75
new-thyroid	3	0.947,0.886,0.833	0.967,0.886,0.867	0.947,0.857,0.9	0.973,0.943,0.967	0.993,0.943,0.867	1,0.571,0.767
pageblocks	5	0.978,0.818,0.75,0.333,0.667	0.982,0.848,0.875,0.416,1	0.976,0.909,0.875,0.417,0.333	0.99,0.818,0.875,0,0	0.963,0.697,0.875,0.417,0	0.996,0.394,0,0,0.333
penbased	10	0.939,0.86,0.895,0.858,0.921,0.849,0.943,0.878,0.914,0.83	0.965,0.833,0.947,0.868,0.947,0.915,0.971,0.922,0.895,0.877	0.904,0.842,0.825,0.877,0.904,0.811,0.933,0.887,0.848,0.726	0.957,0.895,0.991,0.981,0.982,0.557,0.99,0.948,0.981,0.962	0.878,0.807,0.895,0.906,0.965,0.453,0.952,0.843,0.876,0.877	0.965,0.851,1,0.991,0.982,0.991,1,0.93,0.933,0.943
shuttle	7	1,0,0,0.994,1,1,1	0.999,0,0.667,0.994,1,1,1	0.999,0,1,0.991,0.984,1,1	0.995,0,0.167,0.994,0.992,1,1	0.982,0,0.667,0.612,0.984,1,1	0.991,0,0,0.604,0.992,1,1
thyroid	3	0.882,0.973,0.989	0.824,0.973,0.989	0.882,0.946,0.988	0.647,0.27,0.983	0.647,0.27,0.995	0.059,0,1
wine	3	0.966,0.944,0.896	0.949,0.901,0.896	0.932,0.915,0.958	1,0.958,0.979	0.966,0.972,1	1,0.958,1
yeast	10	0.537,0.513,0.562,0.818,0.431,0.834,0.429,0,0.25,0.8	0.508,0.522,0.579,0.705,0.392,0.761,0.457,0.1,0.45,0.8	0.504,0.534,0.644,0.727,0.353,0.798,0.486,0,0.55,0.8	0.57,0.552,0.637,0.727,0.333,0.834,0.543,0,0.4,0	0.607,0.399,0.7,0.614,0.392,0.798,0.686,0,0.45,0.4	0.561,0.35,0.784,0.795,0.196,0.776,0.286,0,0.55,0.6
