@RELATION unknow
@ATTRIBUTE at1 REAL
@ATTRIBUTE at2 REAL
@ATTRIBUTE at3 REAL
@ATTRIBUTE at4 REAL
@ATTRIBUTE at5 REAL
@ATTRIBUTE at6 REAL
@ATTRIBUTE at7 REAL
@ATTRIBUTE at8 REAL
@ATTRIBUTE at9 REAL
@ATTRIBUTE at10 REAL
@ATTRIBUTE at11 REAL
@ATTRIBUTE at12 REAL
@ATTRIBUTE at13 REAL
@ATTRIBUTE at14 REAL
@ATTRIBUTE at15 REAL
@ATTRIBUTE at16 REAL
@ATTRIBUTE class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@DATA
57.0, 100.0, 22.0, 72.0, 0.0, 31.0, 25.0, 0.0, 75.0, 13.0, 100.0, 50.0, 75.0, 87.0, 26.0, 85.0, 0
32.0, 59.0, 53.0, 100.0, 100.0, 95.0, 79.0, 46.0, 48.0, 0.0, 93.0, 19.0, 58.0, 55.0, 0.0, 63.0, 8
17.0, 100.0, 0.0, 74.0, 6.0, 36.0, 77.0, 37.0, 100.0, 63.0, 73.0, 95.0, 71.0, 47.0, 75.0, 0.0, 4
97.0, 100.0, 41.0, 90.0, 4.0, 58.0, 0.0, 22.0, 52.0, 0.0, 100.0, 22.0, 49.0, 38.0, 8.0, 13.0, 6
41.0, 69.0, 76.0, 100.0, 73.0, 81.0, 57.0, 39.0, 46.0, 0.0, 0.0, 10.0, 50.0, 9.0, 100.0, 10.0, 1
20.0, 85.0, 62.0, 100.0, 71.0, 72.0, 45.0, 52.0, 98.0, 47.0, 100.0, 17.0, 53.0, 0.0, 0.0, 0.0, 3
4.0, 63.0, 12.0, 15.0, 52.0, 0.0, 92.0, 15.0, 100.0, 63.0, 72.0, 100.0, 28.0, 97.0, 0.0, 62.0, 0
45.0, 100.0, 10.0, 67.0, 7.0, 16.0, 56.0, 0.0, 100.0, 31.0, 91.0, 79.0, 38.0, 95.0, 0.0, 61.0, 0
16.0, 100.0, 0.0, 78.0, 5.0, 54.0, 41.0, 32.0, 93.0, 39.0, 100.0, 48.0, 91.0, 24.0, 89.0, 0.0, 4
28.0, 82.0, 0.0, 39.0, 30.0, 0.0, 80.0, 5.0, 100.0, 54.0, 70.0, 99.0, 22.0, 100.0, 7.0, 50.0, 0
65.0, 100.0, 24.0, 84.0, 0.0, 48.0, 9.0, 10.0, 61.0, 0.0, 100.0, 24.0, 58.0, 47.0, 2.0, 46.0, 6
0.0, 79.0, 51.0, 59.0, 100.0, 29.0, 51.0, 0.0, 22.0, 26.0, 51.0, 60.0, 73.0, 94.0, 9.0, 100.0, 8
0.0, 100.0, 73.0, 97.0, 95.0, 80.0, 100.0, 64.0, 95.0, 48.0, 82.0, 31.0, 64.0, 15.0, 23.0, 0.0, 1
88.0, 99.0, 45.0, 82.0, 78.0, 75.0, 90.0, 100.0, 100.0, 68.0, 93.0, 36.0, 59.0, 9.0, 0.0, 0.0, 9
29.0, 47.0, 59.0, 71.0, 100.0, 100.0, 90.0, 81.0, 74.0, 50.0, 66.0, 18.0, 0.0, 0.0, 99.0, 7.0, 1
89.0, 87.0, 38.0, 100.0, 17.0, 78.0, 80.0, 77.0, 100.0, 76.0, 92.0, 34.0, 61.0, 0.0, 0.0, 4.0, 9
0.0, 100.0, 50.0, 97.0, 100.0, 91.0, 74.0, 63.0, 55.0, 29.0, 42.0, 0.0, 20.0, 31.0, 68.0, 36.0, 7
9.0, 61.0, 25.0, 100.0, 59.0, 72.0, 42.0, 27.0, 0.0, 5.0, 5.0, 24.0, 53.0, 16.0, 100.0, 0.0, 2
0.0, 45.0, 0.0, 61.0, 48.0, 82.0, 100.0, 100.0, 97.0, 78.0, 72.0, 51.0, 45.0, 24.0, 33.0, 0.0, 1
100.0, 92.0, 64.0, 100.0, 37.0, 77.0, 20.0, 50.0, 11.0, 21.0, 22.0, 0.0, 35.0, 26.0, 0.0, 40.0, 6
31.0, 88.0, 5.0, 50.0, 4.0, 8.0, 57.0, 0.0, 100.0, 30.0, 100.0, 71.0, 56.0, 100.0, 0.0, 92.0, 0
65.0, 100.0, 25.0, 93.0, 0.0, 56.0, 11.0, 16.0, 60.0, 0.0, 100.0, 20.0, 50.0, 28.0, 9.0, 1.0, 6
41.0, 79.0, 47.0, 100.0, 84.0, 94.0, 71.0, 52.0, 42.0, 16.0, 0.0, 3.0, 49.0, 7.0, 100.0, 0.0, 2
100.0, 100.0, 62.0, 83.0, 36.0, 57.0, 23.0, 26.0, 42.0, 0.0, 81.0, 10.0, 43.0, 23.0, 0.0, 18.0, 6
100.0, 97.0, 56.0, 100.0, 22.0, 83.0, 18.0, 50.0, 53.0, 47.0, 68.0, 22.0, 37.0, 0.0, 0.0, 6.0, 5
100.0, 100.0, 59.0, 78.0, 25.0, 52.0, 0.0, 24.0, 16.0, 0.0, 79.0, 8.0, 70.0, 29.0, 7.0, 27.0, 6
100.0, 100.0, 55.0, 98.0, 26.0, 81.0, 40.0, 67.0, 78.0, 55.0, 74.0, 25.0, 43.0, 1.0, 0.0, 0.0, 5
0.0, 32.0, 29.0, 55.0, 63.0, 78.0, 100.0, 100.0, 90.0, 75.0, 88.0, 50.0, 84.0, 25.0, 80.0, 0.0, 1
100.0, 74.0, 46.0, 65.0, 0.0, 78.0, 36.0, 100.0, 78.0, 88.0, 80.0, 58.0, 78.0, 28.0, 88.0, 0.0, 9
55.0, 76.0, 22.0, 68.0, 66.0, 29.0, 39.0, 0.0, 52.0, 32.0, 100.0, 68.0, 69.0, 100.0, 0.0, 86.0, 8
27.0, 100.0, 2.0, 56.0, 12.0, 8.0, 62.0, 0.0, 100.0, 33.0, 94.0, 79.0, 46.0, 94.0, 0.0, 72.0, 0
44.0, 60.0, 0.0, 77.0, 47.0, 99.0, 100.0, 100.0, 84.0, 75.0, 75.0, 50.0, 75.0, 24.0, 100.0, 0.0, 1
0.0, 56.0, 5.0, 14.0, 47.0, 0.0, 86.0, 25.0, 100.0, 66.0, 76.0, 100.0, 34.0, 80.0, 6.0, 45.0, 0
0.0, 82.0, 26.0, 100.0, 51.0, 80.0, 43.0, 50.0, 24.0, 22.0, 12.0, 2.0, 57.0, 1.0, 100.0, 0.0, 2
18.0, 78.0, 53.0, 100.0, 90.0, 81.0, 43.0, 57.0, 90.0, 55.0, 100.0, 22.0, 52.0, 0.0, 0.0, 16.0, 3
100.0, 100.0, 54.0, 85.0, 21.0, 57.0, 0.0, 27.0, 23.0, 0.0, 75.0, 7.0, 57.0, 29.0, 3.0, 23.0, 6
89.0, 100.0, 38.0, 83.0, 0.0, 44.0, 2.0, 0.0, 61.0, 2.0, 100.0, 40.0, 100.0, 88.0, 45.0, 98.0, 0
31.0, 88.0, 6.0, 58.0, 14.0, 13.0, 64.0, 0.0, 100.0, 33.0, 96.0, 77.0, 49.0, 100.0, 0.0, 81.0, 0
15.0, 72.0, 47.0, 100.0, 88.0, 89.0, 52.0, 60.0, 75.0, 35.0, 100.0, 7.0, 50.0, 0.0, 0.0, 11.0, 3
41.0, 82.0, 77.0, 98.0, 100.0, 100.0, 59.0, 90.0, 28.0, 69.0, 54.0, 42.0, 39.0, 13.0, 0.0, 0.0, 5
0.0, 87.0, 32.0, 100.0, 75.0, 90.0, 64.0, 45.0, 49.0, 0.0, 82.0, 10.0, 100.0, 33.0, 54.0, 37.0, 7
0.0, 89.0, 31.0, 100.0, 100.0, 80.0, 94.0, 39.0, 63.0, 0.0, 22.0, 15.0, 8.0, 37.0, 95.0, 44.0, 7
22.0, 77.0, 34.0, 100.0, 90.0, 99.0, 65.0, 67.0, 72.0, 56.0, 100.0, 28.0, 58.0, 2.0, 0.0, 0.0, 3
0.0, 72.0, 9.0, 100.0, 68.0, 94.0, 74.0, 63.0, 49.0, 34.0, 6.0, 9.0, 30.0, 0.0, 100.0, 1.0, 2
34.0, 100.0, 9.0, 68.0, 61.0, 65.0, 67.0, 24.0, 0.0, 0.0, 3.0, 45.0, 20.0, 92.0, 100.0, 99.0, 5
