@RELATION unknow
@ATTRIBUTE a1 integer [27, 126]
@ATTRIBUTE a2 integer [-4821, 5075]
@ATTRIBUTE a3 integer [21, 149]
@ATTRIBUTE a4 integer [-3939, 3830]
@ATTRIBUTE a5 integer [-188, 436]
@ATTRIBUTE a6 integer [-13839, 13148]
@ATTRIBUTE a7 integer [-48, 105]
@ATTRIBUTE a8 integer [-353, 270]
@ATTRIBUTE a9 integer [-356, 266]
@ATTRIBUTE class {1,2,3,4,5,6,7}
@DATA
49, 0, 79, 0, 46, -5, 30, 32, 2, 1
41, 1, 86, 3, 42, 6, 45, 45, 0, 1
50, -4, 83, 0, 50, 0, 33, 34, 2, 1
48, 1, 81, -1, 46, 0, 33, 34, 2, 1
45, 0, 86, 0, 44, -10, 41, 42, 2, 1
37, 0, 79, 0, 26, -4, 42, 53, 12, 1
37, 0, 81, 0, 38, 7, 43, 42, 0, 1
43, 0, 81, 0, 42, -10, 37, 39, 2, 1
43, 0, 77, 10, 42, -34, 34, 36, 2, 1
44, 0, 79, -2, 44, 0, 35, 35, 0, 1
44, 4, 82, -7, 44, 1, 38, 38, 0, 1
37, 0, 76, 0, 34, 13, 39, 42, 4, 1
62, 0, 109, 0, 62, 23, 48, 47, 0, 1
56, 0, 79, 0, 12, 11, 23, 66, 42, 4
49, -4, 107, -1, 50, 0, 58, 58, 0, 1
41, 1, 108, 0, 42, 10, 66, 66, 0, 1
43, 0, 86, 0, 44, 21, 43, 42, 0, 1
45, -4, 81, 1, 44, -21, 36, 37, 2, 1
37, 0, 104, -2, 16, -14, 67, 89, 22, 1
49, -1, 86, 0, 50, 4, 37, 37, 0, 1
66, 0, 109, 0, 68, 4, 43, 42, 0, 1
55, 0, 82, 0, -38, -6, 26, 121, 94, 4
37, 2, 97, 0, 34, -2, 60, 64, 4, 1
56, 0, 89, 0, 56, 0, 33, 32, 0, 1
50, 0, 110, 1, 50, 0, 60, 61, 2, 1
37, 0, 81, 5, 34, 1, 43, 47, 4, 1
44, 1, 86, 0, 44, 22, 42, 42, 0, 1
37, 0, 78, -4, 28, 0, 41, 50, 8, 1
57, 0, 82, 5, 56, 0, 25, 25, 0, 1
56, 0, 95, 0, 54, 1, 39, 41, 2, 1
37, 0, 106, 0, 24, -2, 69, 83, 14, 1
